Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects
14-18,Normal,Normal to Dry,No,Wrinkles,General,Retinol + Peptides + Hyaluronic Acid,10% + 0.5% + 3%,"Stimulates collagen production and reduces wrinkles, Improves skin elasticity and firmness, Hydrates and plumps the skin"
14-18,Normal,Normal to Oily,Yes,Acne,Comedonal,Niacinamide + Zinc PCA + Benzoyl Peroxide,0.5% + 2% + 8%,"Reduces inflammation and regulates sebum, Controls sebum production, Kills acne-causing bacteria"
14-18,Normal,Normal to Oily,Yes,Acne,Inflammatory,Salicylic Acid + Zinc PCA + Azelaic Acid,5% + 2% + 3%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture"
14-18,Normal,Normal to Oily,Yes,Acne,Nodular,Zinc PCA + Green Tea Extract + Salicylic Acid,3% + 10% + 1%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil"
14-18,Normal,Normal to Oily,Yes,Acne,Cystic,Benzoyl Peroxide + Azelaic Acid + Green Tea Extract,3% + 5% + 1%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
14-18,Normal,Normal to Oily,Yes,Dark Circles,Pigmented,Vitamin K + Vitamin C + Caffeine,1% + 2% + 10%,"Improves blood circulation under eyes, Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation"
14-18,Normal,Normal to Oily,Yes,Dark Circles,Vascular,Licorice Extract + Caffeine + Hyaluronic Acid,0.5% + 8% + 1%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
14-18,Normal,Normal to Oily,Yes,Dark Spots,General,Licorice Extract + Alpha Arbutin + Kojic Acid,5% + 0.5% + 8%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration"
14-18,Normal,Normal to Oily,Yes,Dullness,General,Green Tea Extract + Vitamin C + Lactic Acid,0.5% + 2% + 5%,"Provides antioxidant and anti-inflammatory benefits, Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance"
14-18,Normal,Normal to Oily,Yes,Hyperpigmentation,General,Niacinamide + Vitamin C + Alpha Arbutin,0.5% + 3% + 1%,"Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots"
14-18,Normal,Normal to Oily,Yes,Open Pores,General,Salicylic Acid + Green Tea Extract + Clay,8% + 3% + 1%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores"
14-18,Normal,Normal to Oily,Yes,Redness,General,Aloe Vera + Centella Asiatica + Chamomile Extract,8% + 2% + 3%,"Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier, Calms redness and irritation"
14-18,Normal,Normal to Oily,Yes,Sun Tan,General,Aloe Vera + Licorice Extract + Alpha Arbutin,2% + 3% + 8%,"Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots"
14-18,Normal,Normal to Oily,Yes,Whiteheads / Blackheads,General,Glycolic Acid + Niacinamide + Zinc PCA,5% + 8% + 3%,"Exfoliates dead skin cells and smooths skin, Reduces inflammation and regulates sebum, Controls sebum production"
14-18,Normal,Normal to Oily,Yes,Wrinkles,General,Peptides + Niacinamide + Retinol,0.5% + 10% + 1%,"Improves skin elasticity and firmness, Reduces inflammation and regulates sebum, Stimulates collagen production and reduces wrinkles"
14-18,Normal,Normal to Oily,No,Acne,Comedonal,Niacinamide + Salicylic Acid + Benzoyl Peroxide,8% + 1% + 0.5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
14-18,Normal,Normal to Oily,No,Acne,Inflammatory,Salicylic Acid + Niacinamide + Benzoyl Peroxide,3% + 0.5% + 8%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Kills acne-causing bacteria"
14-18,Normal,Normal to Oily,No,Acne,Nodular,Benzoyl Peroxide + Niacinamide + Zinc PCA,5% + 0.5% + 1%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production"
14-18,Normal,Normal to Oily,No,Acne,Cystic,Zinc PCA + Niacinamide + Benzoyl Peroxide,8% + 10% + 5%,"Controls sebum production, Reduces inflammation and regulates sebum, Kills acne-causing bacteria"
14-18,Normal,Normal to Oily,No,Dark Circles,Pigmented,Hyaluronic Acid + Niacinamide + Licorice Extract,2% + 0.5% + 5%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
14-18,Normal,Normal to Oily,No,Dark Circles,Vascular,Caffeine + Hyaluronic Acid + Licorice Extract,8% + 5% + 10%,"Reduces puffiness and improves circulation, Hydrates and plumps the skin, Lightens dark spots and evens skin tone"
14-18,Normal,Normal to Oily,No,Dark Spots,General,Kojic Acid + Vitamin C + Alpha Arbutin,8% + 2% + 5%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots"
14-18,Normal,Normal to Oily,No,Dullness,General,Hyaluronic Acid + Vitamin C + Lactic Acid,10% + 2% + 0.5%,"Hydrates and plumps the skin, Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance"
14-18,Normal,Normal to Oily,No,Hyperpigmentation,General,Licorice Extract + Tranexamic Acid + Vitamin C,2% + 8% + 10%,"Lightens dark spots and evens skin tone, Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation"
14-18,Normal,Normal to Oily,No,Open Pores,General,Salicylic Acid + Green Tea Extract + Niacinamide,0.5% + 10% + 5%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Oily,No,Redness,General,Green Tea Extract + Chamomile Extract + Niacinamide,10% + 2% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Oily,No,Sun Tan,General,Licorice Extract + Aloe Vera + Alpha Arbutin,3% + 1% + 0.5%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots"
14-18,Normal,Normal to Oily,No,Whiteheads / Blackheads,General,Niacinamide + Glycolic Acid + Willow Bark Extract,5% + 8% + 0.5%,"Reduces inflammation and regulates sebum, Exfoliates dead skin cells and smooths skin, Naturally exfoliates and clears pores"
14-18,Normal,Normal to Oily,No,Wrinkles,General,Niacinamide + Hyaluronic Acid + Coenzyme Q10,10% + 1% + 2%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair"
14-18,Dry,Dry to Normal,Yes,Acne,Comedonal,Azelaic Acid + Green Tea Extract + Niacinamide,2% + 1% + 0.5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,Yes,Acne,Inflammatory,Salicylic Acid + Azelaic Acid + Green Tea Extract,0.5% + 2% + 8%,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
14-18,Dry,Dry to Normal,Yes,Acne,Nodular,Zinc PCA + Niacinamide + Green Tea Extract,5% + 2% + 10%,"Controls sebum production, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits"
14-18,Dry,Dry to Normal,Yes,Acne,Cystic,Zinc PCA + Green Tea Extract + Salicylic Acid,10% + 8% + 3%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil"
14-18,Dry,Dry to Normal,Yes,Dark Circles,Pigmented,Niacinamide + Caffeine + Hyaluronic Acid,5% + 2% + 10%,"Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
14-18,Dry,Dry to Normal,Yes,Dark Circles,Vascular,Caffeine + Niacinamide + Hyaluronic Acid,5% + 10% + 8%,"Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
14-18,Dry,Dry to Normal,Yes,Dark Spots,General,Alpha Arbutin + Vitamin C + Niacinamide,0.5% + 2% + 10%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,Yes,Dullness,General,Lactic Acid + Vitamin C + Hyaluronic Acid,3% + 2% + 5%,"Gently exfoliates and improves skin radiance, Brightens skin and reduces pigmentation, Hydrates and plumps the skin"
14-18,Dry,Dry to Normal,Yes,Hyperpigmentation,General,Licorice Extract + Alpha Arbutin + Niacinamide,8% + 5% + 2%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,Yes,Open Pores,General,Niacinamide + Clay + Green Tea Extract,5% + 2% + 0.5%,"Reduces inflammation and regulates sebum, Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits"
14-18,Dry,Dry to Normal,Yes,Redness,General,Niacinamide + Chamomile Extract + Centella Asiatica,2% + 1% + 0.5%,"Reduces inflammation and regulates sebum, Calms redness and irritation, Soothes irritation and repairs skin barrier"
14-18,Dry,Dry to Normal,Yes,Sun Tan,General,Niacinamide + Aloe Vera + Vitamin C,2% + 5% + 10%,"Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation"
14-18,Dry,Dry to Normal,Yes,Whiteheads / Blackheads,General,Glycolic Acid + Zinc PCA + Niacinamide,10% + 3% + 5%,"Exfoliates dead skin cells and smooths skin, Controls sebum production, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,Yes,Wrinkles,General,Hyaluronic Acid + Coenzyme Q10 + Niacinamide,5% + 8% + 0.5%,"Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,No,Acne,Comedonal,Zinc PCA + Azelaic Acid + Benzoyl Peroxide,1% + 3% + 10%,"Controls sebum production, Reduces acne and improves skin texture, Kills acne-causing bacteria"
14-18,Dry,Dry to Normal,No,Acne,Inflammatory,Benzoyl Peroxide + Azelaic Acid + Salicylic Acid,1% + 10% + 5%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
14-18,Dry,Dry to Normal,No,Acne,Nodular,Green Tea Extract + Niacinamide + Salicylic Acid,0.5% + 10% + 8%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
14-18,Dry,Dry to Normal,No,Acne,Cystic,Benzoyl Peroxide + Niacinamide + Azelaic Acid,10% + 2% + 1%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
14-18,Dry,Dry to Normal,No,Dark Circles,Pigmented,Vitamin C + Vitamin K + Caffeine,0.5% + 3% + 8%,"Brightens skin and reduces pigmentation, Improves blood circulation under eyes, Reduces puffiness and improves circulation"
14-18,Dry,Dry to Normal,No,Dark Circles,Vascular,Licorice Extract + Hyaluronic Acid + Vitamin C,5% + 0.5% + 1%,"Lightens dark spots and evens skin tone, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
14-18,Dry,Dry to Normal,No,Dark Spots,General,Licorice Extract + Kojic Acid + Alpha Arbutin,8% + 10% + 3%,"Lightens dark spots and evens skin tone, Lightens pigmentation and skin discoloration, Reduces hyperpigmentation and dark spots"
14-18,Dry,Dry to Normal,No,Dullness,General,Green Tea Extract + Niacinamide + Vitamin C,3% + 0.5% + 5%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
14-18,Dry,Dry to Normal,No,Hyperpigmentation,General,Tranexamic Acid + Vitamin C + Niacinamide,3% + 10% + 5%,"Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,No,Open Pores,General,Green Tea Extract + Azelaic Acid + Salicylic Acid,5% + 1% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
14-18,Dry,Dry to Normal,No,Redness,General,Centella Asiatica + Green Tea Extract + Aloe Vera,8% + 2% + 5%,"Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits, Soothes and hydrates irritated skin"
14-18,Dry,Dry to Normal,No,Sun Tan,General,Vitamin C + Niacinamide + Licorice Extract,0.5% + 8% + 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
14-18,Dry,Dry to Normal,No,Whiteheads / Blackheads,General,Niacinamide + Zinc PCA + Willow Bark Extract,5% + 0.5% + 8%,"Reduces inflammation and regulates sebum, Controls sebum production, Naturally exfoliates and clears pores"
14-18,Dry,Dry to Normal,No,Wrinkles,General,Peptides + Coenzyme Q10 + Niacinamide,10% + 0.5% + 5%,"Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum"
14-18,Dry,Extreme Dry,Yes,Acne,Comedonal,Benzoyl Peroxide + Green Tea Extract + Azelaic Acid,3% + 10% + 2%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture"
14-18,Dry,Extreme Dry,Yes,Acne,Inflammatory,Salicylic Acid + Green Tea Extract + Niacinamide,8% + 0.5% + 3%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
14-18,Dry,Extreme Dry,Yes,Acne,Nodular,Niacinamide + Benzoyl Peroxide + Azelaic Acid,1% + 0.5% + 5%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Reduces acne and improves skin texture"
14-18,Dry,Extreme Dry,Yes,Acne,Cystic,Azelaic Acid + Green Tea Extract + Benzoyl Peroxide,8% + 1% + 0.5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria"
14-18,Dry,Extreme Dry,Yes,Dark Circles,Pigmented,Vitamin C + Niacinamide + Licorice Extract,2% + 0.5% + 8%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
14-18,Dry,Extreme Dry,Yes,Dark Circles,Vascular,Vitamin K + Caffeine + Hyaluronic Acid,2% + 3% + 5%,"Improves blood circulation under eyes, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
14-18,Dry,Extreme Dry,Yes,Dark Spots,General,Vitamin C + Niacinamide + Kojic Acid,10% + 1% + 5%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration"
14-18,Dry,Extreme Dry,Yes,Dullness,General,Green Tea Extract + Lactic Acid + Vitamin C,1% + 3% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance, Brightens skin and reduces pigmentation"
14-18,Dry,Extreme Dry,Yes,Hyperpigmentation,General,Licorice Extract + Alpha Arbutin + Vitamin C,10% + 1% + 0.5%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
14-18,Dry,Extreme Dry,Yes,Open Pores,General,Azelaic Acid + Salicylic Acid + Niacinamide,10% + 2% + 5%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
14-18,Dry,Extreme Dry,Yes,Redness,General,Green Tea Extract + Niacinamide + Aloe Vera,0.5% + 10% + 1%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin"
14-18,Dry,Extreme Dry,Yes,Sun Tan,General,Niacinamide + Aloe Vera + Vitamin C,3% + 0.5% + 1%,"Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation"
14-18,Dry,Extreme Dry,Yes,Whiteheads / Blackheads,General,Niacinamide + Willow Bark Extract + Glycolic Acid,10% + 3% + 0.5%,"Reduces inflammation and regulates sebum, Naturally exfoliates and clears pores, Exfoliates dead skin cells and smooths skin"
14-18,Dry,Extreme Dry,Yes,Wrinkles,General,Coenzyme Q10 + Peptides + Retinol,3% + 1% + 0.5%,"Provides antioxidant protection and supports skin repair, Improves skin elasticity and firmness, Stimulates collagen production and reduces wrinkles"
14-18,Dry,Extreme Dry,No,Acne,Comedonal,Green Tea Extract + Salicylic Acid + Zinc PCA,8% + 10% + 3%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Controls sebum production"
14-18,Dry,Extreme Dry,No,Acne,Inflammatory,Zinc PCA + Niacinamide + Benzoyl Peroxide,8% + 10% + 2%,"Controls sebum production, Reduces inflammation and regulates sebum, Kills acne-causing bacteria"
14-18,Dry,Extreme Dry,No,Acne,Nodular,Niacinamide + Benzoyl Peroxide + Green Tea Extract,2% + 3% + 8%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
14-18,Dry,Extreme Dry,No,Acne,Cystic,Zinc PCA + Benzoyl Peroxide + Salicylic Acid,8% + 0.5% + 2%,"Controls sebum production, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
14-18,Dry,Extreme Dry,No,Dark Circles,Pigmented,Vitamin K + Licorice Extract + Vitamin C,3% + 5% + 10%,"Improves blood circulation under eyes, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation"
14-18,Dry,Extreme Dry,No,Dark Circles,Vascular,Licorice Extract + Caffeine + Niacinamide,3% + 5% + 1%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum"
14-18,Dry,Extreme Dry,No,Dark Spots,General,Niacinamide + Kojic Acid + Vitamin C,3% + 1% + 10%,"Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation"
14-18,Dry,Extreme Dry,No,Dullness,General,Green Tea Extract + Niacinamide + Hyaluronic Acid,5% + 8% + 1%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
14-18,Dry,Extreme Dry,No,Hyperpigmentation,General,Vitamin C + Niacinamide + Alpha Arbutin,3% + 8% + 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots"
14-18,Dry,Extreme Dry,No,Open Pores,General,Clay + Azelaic Acid + Salicylic Acid,2% + 10% + 3%,"Absorbs excess oil and tightens pores, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
14-18,Dry,Extreme Dry,No,Redness,General,Centella Asiatica + Niacinamide + Aloe Vera,0.5% + 3% + 10%,"Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin"
14-18,Dry,Extreme Dry,No,Sun Tan,General,Licorice Extract + Vitamin C + Niacinamide,2% + 3% + 8%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
14-18,Dry,Extreme Dry,No,Whiteheads / Blackheads,General,Willow Bark Extract + Salicylic Acid + Glycolic Acid,1% + 2% + 10%,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin"
14-18,Dry,Extreme Dry,No,Wrinkles,General,Retinol + Niacinamide + Peptides,0.5% + 1% + 3%,"Stimulates collagen production and reduces wrinkles, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness"
14-18,Oily,Oily to Normal,Yes,Acne,Comedonal,Benzoyl Peroxide + Zinc PCA + Salicylic Acid,10% + 3% + 0.5%,"Kills acne-causing bacteria, Controls sebum production, Unclogs pores and removes excess oil"
14-18,Oily,Oily to Normal,Yes,Acne,Inflammatory,Azelaic Acid + Benzoyl Peroxide + Zinc PCA,1% + 10% + 3%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Controls sebum production"
14-18,Oily,Oily to Normal,Yes,Acne,Nodular,Green Tea Extract + Azelaic Acid + Salicylic Acid,5% + 1% + 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
14-18,Oily,Oily to Normal,Yes,Acne,Cystic,Niacinamide + Benzoyl Peroxide + Zinc PCA,2% + 10% + 8%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Controls sebum production"
14-18,Oily,Oily to Normal,Yes,Dark Circles,Pigmented,Hyaluronic Acid + Vitamin C + Licorice Extract,1% + 8% + 2%,"Hydrates and plumps the skin, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone"
14-18,Oily,Oily to Normal,Yes,Dark Circles,Vascular,Hyaluronic Acid + Vitamin K + Vitamin C,2% + 8% + 5%,"Hydrates and plumps the skin, Improves blood circulation under eyes, Brightens skin and reduces pigmentation"
14-18,Oily,Oily to Normal,Yes,Dark Spots,General,Vitamin C + Alpha Arbutin + Niacinamide,0.5% + 10% + 1%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum"
14-18,Oily,Oily to Normal,Yes,Dullness,General,Green Tea Extract + Niacinamide + Lactic Acid,2% + 8% + 3%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance"
14-18,Oily,Oily to Normal,Yes,Hyperpigmentation,General,Vitamin C + Niacinamide + Tranexamic Acid,1% + 0.5% + 3%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation"
